
# TYPE process_cpu_time_seconds_total counter
# UNIT process_cpu_time_seconds_total seconds
# HELP process_cpu_time_seconds_total Total CPU seconds broken down by different states.
process_cpu_time_seconds_total{otel_scope_name="OpenTelemetry.Instrumentation.Process",otel_scope_version="1.15.0-beta.1",process_cpu_state="user"} 18853.009685 1786132820020
process_cpu_time_seconds_total{otel_scope_name="OpenTelemetry.Instrumentation.Process",otel_scope_version="1.15.0-beta.1",process_cpu_state="system"} 8273.164956 1786132820020
# TYPE process_cpu_count gauge
# HELP process_cpu_count The number of processors (CPU cores) available to the current process.
process_cpu_count{otel_scope_name="OpenTelemetry.Instrumentation.Process",otel_scope_version="1.15.0-beta.1"} 4 1786132820020
# TYPE process_thread_count gauge
# HELP process_thread_count Process threads count.
process_thread_count{otel_scope_name="OpenTelemetry.Instrumentation.Process",otel_scope_version="1.15.0-beta.1"} 22 1786132820020
# TYPE db_client_operation_duration_seconds histogram
# UNIT db_client_operation_duration_seconds seconds
# HELP db_client_operation_duration_seconds Duration of database client operations.
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6",le="0.001"} 918896 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6",le="0.005"} 2875878 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6",le="0.01"} 2927709 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6",le="0.05"} 3191752 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6",le="0.1"} 3195158 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6",le="0.5"} 3353775 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6",le="1"} 3354262 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6",le="5"} 3354290 1786132820020
db_client_operation_duration_seconds_bucket{otel_scope_name="OpenTelemetry.Instrumentation.SqlClient",otel_scope_version="1.15.1",db_namespace="pulse",db_system_name="microsoft.sql_server",server_address="10.30.5.6",le="10"} 3354297 1786132820020
